number,name,age,grade,major,score,pass or not
20260516000,Emma Pear Bear,18,1,Math,31.0,False
20260516001,Grace Banana Goose,21,4,Math,94.0,True
20260516002,Johny Cloudberry Dolphin,18,1,Coding,43.0,False
20260516003,Johny Cloudberry Bear,21,4,Math,34.0,False
20260516004,Emma Cherry Dolphin,20,3,Computer,94.0,True
20260516005,Iric Apple Goose,19,2,Math,999.0,True
20260516006,Joseph Apple Elephant,18,1,Coding,-10.0,False
20260516007,Fayde Banana Ape,18,1,compueter,56.0,False
20260516008,Freya Strawberry Elephant,18,1,AI!!!,9.0,False
20260516009,  Bob  ,20,3,Math,25.0,False
20260516010,Fayde Pear Ape,twenty,1,Math,77.0,True
20260516011,Carol Pear Goose,19,2,Math,N/A,False
20260516012,Ive Cherry Bear,19,2,Computer,96.0,True
20260516013,Ive Strawberry Dolphin,19,2,Database,8.0,False
20260516014,Freya Cherry Ape,21,4,Computer,16.0,False
20260516015,Emma Cloudberry Ape,19,2,Database,8.0,False
20260516016,Fayde Pear Goose,20,3,Computer,1.0,False
20260516017,Charlie Blueberry Elephant,21,4,Database,93.0,True
20260516018,Bella Blueberry Ape,18,1,AI,86.0,True
20260516019,Hans Cloudberry Goose,20,3,Database,64.0,True
20260516020,Carol Blueberry Goose,20,3,AI,58.0,False
20260516021,George Cloudberry Elephant,18,1,Coding,91.0,True
20260516022,Alan Strawberry Ape,18,1,Database,94.0,True
20260516023,Joseph Pear Elephant,21,4,Database,,False
20260516024,David Strawberry Ape,19,2,AI,94.0,True
20260516025,Edward Blueberry Dolphin,18,1,Math,34.0,False
20260516026,Grace Strawberry Goose,20,3,Coding,68.0,True
20260516027,Alice Banana Goose,19,2,Database,39.0,False
20260516028,Carol Blueberry Bear,20,3,Math,91.0,True
20260516029,Bob Cherry Dolphin,21,4,AI,34.0,False
20260516030,Edward Strawberry Elephant,19,2,Computer,50.0,False
20260516031,George Cloudberry Bear,20,3,Database,94.0,True
20260516032,Bob Strawberry Bear,18,1,Computer,74.0,True
20260516033,Alan Blueberry Elephant,18,1,Coding,,True
20260516034,Alan Cloudberry Bear,20,3,Computer,26.0,False
20260516035,Doris Cloudberry Elephant,21,4,AI,,False
20260516036,Edward Cloudberry Ape,21,4,Database,62.0,True
20260516037,David Cherry Dolphin,20,3,Computer,49.0,False
20260516038,Edward Cloudberry Dolphin,21,4,Math,99.0,True
20260516039,Johny Pear Dolphin,20,3,Math,24.0,False
20260516040,Grace Banana Dolphin,19,2,Math,68.0,True
20260516041,Joseph Cloudberry Elephant,20,3,Database,40.0,False
20260516042,Hanna Strawberry Elephant,21,4,Coding,78.0,True
20260516043,Carol Blueberry Goose,21,4,Database,12.0,False
20260516044,Joseph Apple Goose,21,4,Computer,24.0,False
20260516045,Freya Cloudberry Goose,21,4,Database,43.0,False
20260516046,Iric Pear Goose,19,2,AI,82.0,True
20260516047,Alan Banana Ape,18,1,Coding,60.0,True
20260516048,Bob Strawberry Elephant,21,4,Computer,87.0,True
20260516049,Ive Cherry Elephant,18,1,Coding,38.0,False
20260516050,Charlie Cloudberry Elephant,19,2,Math,42.0,False
20260516051,Joseph Cherry Dolphin,18,1,AI,69.0,True
20260516052,Alice Apple Ape,20,3,AI,24.0,False
20260516053,Hanna Pear Goose,18,1,Coding,48.0,False
20260516054,Ive Apple Goose,18,1,AI,68.0,True
